N;mark;year;mileage;vol_engine;price
83328;citroen;2009;219000;1560;13900
83329;citroen;2007;234474;1560;13900
83330;citroen;2010;289000;1997;20400
83331;citroen;2008;180000;1749;16900
83332;citroen;2011;205000;1560;17800
83333;citroen;2008;189400;1749;14800
83334;citroen;2009;242000;1560;11700
83335;citroen;2011;213273;1560;21600
83336;citroen;2012;344000;1560;11900
83337;citroen;2008;192500;1997;16800
83338;citroen;2010;169000;1598;17900
83339;citroen;2008;256000;1560;15900
83340;citroen;2009;178000;1598;14500
83341;citroen;2012;184000;1560;21000
83342;citroen;2011;200976;1997;23900
83343;citroen;2010;192000;1560;16900
83344;citroen;2012;220000;1560;20900
83345;citroen;2011;225000;1560;20900
83346;citroen;2012;197300;1560;21500
83347;citroen;2007;180000;1749;17700
83348;citroen;2009;162034;1600;16300
83349;citroen;2010;135000;1598;19500
83350;citroen;2007;221000;1997;11999
83351;citroen;2007;169000;2000;15900
83352;citroen;2009;314850;1560;8500
83353;citroen;2009;177000;1598;17900
83354;citroen;2009;239100;1560;14900
83355;citroen;2008;149500;1749;18800
83356;citroen;2007;207000;1560;14900
83357;citroen;2011;189870;1560;24600
83358;citroen;2007;180000;1997;14600
83359;citroen;2007;110000;1560;8350
83360;citroen;2009;213000;1560;13999
83361;citroen;2007;140750;1749;17600
83362;citroen;2008;267000;1560;11600
83363;citroen;2008;180000;1560;12800
83364;citroen;2013;161598;1560;29900
83365;citroen;2008;262000;1997;13900
83366;citroen;2007;224821;1997;18500
83367;citroen;2014;168700;1560;29900
83368;citroen;2014;183500;1560;32900
83369;citroen;2015;98366;1560;51000
83370;citroen;2015;55310;1199;57900
83371;citroen;2016;173000;1560;39900
83372;citroen;2014;104900;1560;46900
83373;citroen;2016;100420;1560;51900
83374;citroen;2014;225200;1997;39500
83375;citroen;2015;163000;1560;39900
83376;citroen;2016;113357;1199;57000
83377;citroen;2013;139550;1560;39900
83378;citroen;2016;195200;1560;36900
83379;citroen;2013;145143;1560;45700
83380;citroen;2013;209000;1560;34900
83381;citroen;2014;188655;1997;45000
83382;citroen;2016;152613;1560;45000
83383;citroen;2014;162000;1997;45000
83384;citroen;2018;95772;1199;55900
83385;citroen;2016;199980;1560;39900
83386;citroen;2014;153787;1560;36500
83387;citroen;2016;173000;1560;38900
83388;citroen;2014;142632;1997;47000
83389;citroen;2015;158960;1560;39900
